198.235.24.18 - - [22/Dec/2024:00:01:05 -0500] "GET / HTTP/1.1" 200 508
134.231.167.118 - - [22/Dec/2024:00:26:10 -0500] "GET /elogNew/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces&v=6.0 HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:10 -0500] "GET /elogNew/javax.faces.resource/js/swipe.js.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:10 -0500] "GET /elogNew/javax.faces.resource/js/nanoscroller.js.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:10 -0500] "GET /elogNew/javax.faces.resource/images/dfyoung-spon1.jpg.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:10 -0500] "GET /elogNew/javax.faces.resource/components.js.jsf?ln=primefaces&v=6.0 HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:10 -0500] "GET /elogNew/javax.faces.resource/images/avatar4.png.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:10 -0500] "GET /elogNew/javax.faces.resource/js/layout.js.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:10 -0500] "GET /elogNew/javax.faces.resource/js/ripple.js.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:11 -0500] "GET /elogNew/javax.faces.resource/images/logo.png.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:11 -0500] "GET /elogNew/javax.faces.resource/images/profile-gm.png.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:11 -0500] "GET /elogNew/javax.faces.resource/fonts/roboto-v15-latin-regular.woff2.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:11 -0500] "GET /elogNew/javax.faces.resource/fonts/MaterialIcons-Regular.woff2.jsf?ln=ultima-layout HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:11 -0500] "GET /elogNew/javax.faces.resource/fa/fontawesome-webfont.woff2.jsf?ln=primefaces&v=6.0?v=4.6.1 HTTP/1.1" 304 -
134.231.167.118 - - [22/Dec/2024:00:26:11 -0500] "GET /elogNew/javax.faces.resource/fonts/roboto-v15-latin-700.woff2.jsf?ln=ultima-layout HTTP/1.1" 304 -
